nro_app,id_artefacto,nombre,tier,estado_app,donde_esta
1,0,Rodo (Rodolfo Andragnés),N1,confirmado,Viernes 09:30 · Pastilla — Apertura + El rol de Bitcoin en un futuro de la abundancia | Viernes 18:00 · Pastilla — Sirve el Maximalismo Bitcoiner | Sábado 09:30 · Pastilla — Antología viva de Andreas Antonópoulos
2,1,visionariobtc (Adrián Treviño),N1,confirmado,Viernes 10:15 · Pastilla — Por que la Gen Z necesita Bitcoin : Adrian Treviño | Viernes 12:00 · Autocustodia — Adrian Treviño
4,3,Gaku (Gabriel Kurman),N1,disponible,"Viernes 18:30 · ABC — Ganadores Concurso IFEB | Sábado 17:30 · Pastilla — Panel Economías Circulares Gabriel Kurman, Motiv, Bitcoin Beach, Brasil, Ivan"
6,5,Graeme Moore,N1,confirmado,Viernes 17:00 · Pastilla — Quantum FUD or Reality next Door Graeme Moore
7,6,Juan Manuel Campos Álvarez,N1,confirmado,Viernes 12:00 · Business — Prediction Markets : Juan Manuel Campos Álvarez
10/239,9,Iván Kaleja,N1,disponible,"Viernes 14:00 · ABC — Tips para el desarrollo de economias circulares Ivan Kaleja, Brasil, Roman | Viernes 14:30 · WorkShop — Cómo constriur una economía circular de Bitcoin : Iván Kaleja"
11,10,Lucas Ontivero (Wasabi Wallet),N1,confirmado,"Viernes 12:30 · WorkShop — PayJoin, CoinJoin y otras técnicas de ofuscación y privacidad Online : Lucas Ontivero"
13,12,Marco Esparza Montejo,N2,revision,Sábado 10:00 · Autocustodia — El Ciclo de vida de la Autocustodia Soberana : Marco Esparza Montejo
15,14,Diego Coria (diedex),N2,revision,"Viernes 10:15 · ABC — 8, 18, 80: Un Bitcoin para cada edad Diego Coria"
16,15,Darío Nieto,N1,confirmado,"Viernes 14:30 · Visión — Gobiernos Agénticos: más inteligencia, menos impuestos : Darío Nieto"
17,16,Miguel Klagges,N1,disponible,Viernes 14:00 · Pastilla — La riqueza no ganada ¿Qué hacemos con el privilegio de haber descubierto Bitcoin antes que el resto? : Miguel Klagges
18,17,Birkan Kayadibi,N1,disponible,Viernes 14:00 · WorkShop — Privacy for Stablecoins: RGB on Bitcoin Birkan Kayadibi
19,18,Yuri da Silva Barbosa,N2,revision,Sábado 13:30 · ABC — Educación del bitcoin para niños y su impacto en la familia : Yuri da Silva Barbosa
20,19,Matías Mathey,N1,confirmado,Viernes 13:00 · Autocustodia — Mathey BTC | Viernes 16:00 · ABC — Herencias en Bitcoin ¿Que pasa con tus bitcoin si mañana no estás? MatheyBTC
21,20,Bianca Prieto,N2,disponible,Viernes 18:00 · WorkShop — Holdeando la neurociencia del Bitcoin : Bianca Prieto
22,21,Jeremy Almond,N1,rechazado,"Viernes 18:30 · Pastilla — Why and How do we HODL Dušan Matuška , Saifedean Ammous , Jerremy Almond , Giaccomo Zucco, Giovanni Santostassi"
25,23,Giovanni Santostasi,N1,revision,"Viernes 12:00 · Pastilla — Mathematical Science applied to the Bitcoin Price ""The Power Law"" Giovanni Santostasi | Viernes 18:30 · Pastilla — Why and How do we HODL Dušan Matuška , Saifedean Ammous , Jerremy Almond , Giaccomo Zucco, Giovanni Santostassi"
